datetime,kwh,athome
2018-01-03 04:22:09.098959+00:00,0.3,1
2018-01-03 04:23:09.163031+00:00,0.24,1
2018-01-03 04:26:09.340383+00:00,0.27,2
2018-01-03 04:28:09.461374+00:00,0.24,2
2018-01-03 04:29:09.524863+00:00,0.18,2
2018-01-03 04:31:09.686714+00:00,0.3,2
2018-01-03 04:32:09.703392+00:00,0.24,2
2018-01-03 04:35:09.889300+00:00,0.3,2
2018-01-03 04:36:10.005456+00:00,0.24,2
2018-01-03 04:39:10.130127+00:00,0.18,2
2018-01-03 04:40:10.189412+00:00,0.3,2
2018-01-03 04:41:10.252313+00:00,0.42,2
2018-01-03 04:42:10.305891+00:00,0.36,2
2018-01-03 04:47:10.634285+00:00,0.3,2
2018-01-03 04:48:10.673553+00:00,0.36,2
2018-01-03 04:49:10.733155+00:00,0.3,2
2018-01-03 04:51:10.894660+00:00,0.36,2
2018-01-03 04:57:11.214265+00:00,0.3,2
2018-01-03 04:58:11.321374+00:00,0.36,2
2018-01-03 04:59:11.338528+00:00,0.3,1
2018-01-03 05:01:11.457227+00:00,0.36,1
2018-01-03 05:05:11.701678+00:00,0.3,1
2018-01-03 05:06:12.091980+00:00,0.36,1
2018-01-03 05:08:11.879972+00:00,0.3,1
2018-01-03 05:11:12.125216+00:00,0.36,1
2018-01-03 05:15:12.304651+00:00,0.3,1
2018-01-03 05:16:12.369485+00:00,0.36,1
2018-01-03 05:18:12.488447+00:00,0.39,1
2018-01-03 05:19:12.547938+00:00,0.24,1
2018-01-03 05:20:12.613011+00:00,0.3,1
2018-01-03 05:21:12.679185+00:00,0.36,1
2018-01-03 05:23:12.794218+00:00,0.39,1
2018-01-03 05:24:12.853759+00:00,0.36,1
2018-01-03 05:26:12.975078+00:00,0.3,1
2018-01-03 05:27:13.031380+00:00,0.36,1
2018-01-03 05:29:13.155739+00:00,0.3,1
2018-01-03 05:30:13.214803+00:00,0.18,1
2018-01-03 05:31:13.274951+00:00,0.3,1
2018-01-03 05:32:13.339118+00:00,0.24,1
2018-01-03 05:36:13.582317+00:00,0.3,1
2018-01-03 05:37:13.639404+00:00,0.24,1
2018-01-03 05:39:13.762112+00:00,0.18,1
2018-01-03 05:41:13.883609+00:00,0.24,1
2018-01-03 05:42:13.942219+00:00,0.3,1
